token,lemma
середины,середина
1960-х,UNK
годов,год
грант,грант
активно,активно
снимался,сниматься
в,в
кино,кино
преимущественно,преимущественно
в,в
фильмах,фильм
альфреда,альфред
хичкока,хичкок
говарда,говард
хоукса,хоукса
сидни,сидень
шелдон,шелдон
и,и
стэнли,стэнли
донена,донить
ряд,ряд
кинокартин,кинокартина
с,с
участием,участие
актёра,актёр
являются,являться
классикой,классика
американского,американский
кино,кино
а,а
десять,десять
фильмов,фильм
были,быть
внесены,внести
в,в
национальный,национальный
реестр,реестр
фильмов,фильм
библиотеки,библиотека
конгресса,конгресс
представляющих,представлять
культурное,культурный
историческое,исторический
или,или
эстетическое,эстетический
значение,значение
за,за
свою,свой
кинокарьеру,кинокарьера
грант,грант
дважды,дважды
был,быть
номинирован,номинировать
на,на
кинопремию,кинопремия
оскар,оскар
и,и
на,на
пять,пять
премий,премия
золотого,золотой
глобуса,глобус
а,а
также,также
считается,считаться
одним,один
из,из
самых,самый
выдающихся,выдающийся
актёров,актёр
в,в
истории,история
американского,американский
кинематографа,кинематограф
и,и
золотого,золотой
века,век
голливуда,голливуд
начало,начало
карьеры,карьера
в,в
театре,театр
и,и
в,в
кино,кино
свой,свой
творческий,творческий
путь,путь
уроженец,уроженец
бристоля,бристоль
арчибальд,арчибальд
алек,алек
лич,лич
позже,поздний
сменивший,сменить
имя,имя
на,на
кэри,кэри
грант,грант
начал,начать
в,в
подростковом,подростковый
возрасте,возраст
когда,когда
он,он
присоединился,присоединиться
к,к
водевильной,водевильный
труппе,труппа
боба,боб
пендера,пендёр
в,в
труппе,труппа
его,он
обучали,обучать
акробатическим,акробатический
трюкам,трюк
хождению,хождение
на,на
ходулях,ходуля
и,и
пантомиме,пантомима
а,а
позже,поздний
выступал,выступать
с,с
ней,она
в,в
провинциальных,провинциальный
городах,город
англии,англия
в,в
1920,UNK
году,год
труппа,труппа
отправилась,отправиться
в,в
гастрольный,гастрольный
тур,тур
по,по
сша,сша
где,где
юный,юный
грант,грант
принимал,принимать
участие,участие
в,в
ревю,ревю
хорошие,хороший
времена,время
в,в
качестве,качество
одного,один
из,из
ходоков,ходок
на,на
ходулях,ходуля
постановка,постановка
длилась,длиться
девять,девять
месяцев,месяц
и,и
пользовалась,пользоваться
успехом,успех
у,у
зрителей,зритель
после,после
окончания,окончание
тура,тур
грант,грант
остался,остаться
в,в
сша,сша
и,и
в,в
течение,течение
нескольких,несколько
лет,год
гастролировал,гастролировать
по,по
стране,страна
с,с
акробатическими,акробатический
номерами,номер
в,в
1927,UNK
году,год
он,он
дебютировал,дебютировать
в,в
бродвейском,бродвейский
комедийном,комедийный
мюзикле,мюзикл
реджи,реджи
хаммерштейна,хаммерштейн
золотой,золотой
рассвет,рассвет
несмотря,несмотря
на,на
неоднозначную,неоднозначный
реакцию,реакция
критиков,критик
на,на
постановку,постановка
они,они
высоко,высоко
оценили,оценить
игру,игра
гранта,грант
назвав,назвать
его,он
компетентным,компетентный
молодым,молодой
новичком,новичок
в,в
1928,UNK
году,год
он,он
исполнил,исполнить
роль,роль
рекса,рекс
вана,ван
зиле,зил
в,в
постановке,постановка
хаммерштейна,хаммерштейн
полли,полль
а,а
через,через
год,год
появился,появиться
с,с
небольшой,небольшой
ролью,роль
в,в
мюзикле,мюзикл
бум-бум,UNK
под,под
руководством,руководство
братьев,брат
шуберт,шуберт
с,с
1929,UNK
по,по
1931,UNK
год,год
грант,грант
продолжал,продолжать
выступать,выступать
в,в
различных,различный
театральных,театральный
постановках,постановка
братьев,брат
шуберт,шуберт
включая,включая
уличный,уличный
певец,певец
музыка,музыка
в,в
мае,май
и,и
нина,нина
роза,роза
пока,пока
не,не
был,быть
уволен,уволить
из-за,UNK
финансовых,финансовый
трудностей,трудность
театра,театр
позже,поздний
импресарио,импресарио
уильям,уильям
б,б
фридландер,фридландер
предложил,предложить
ему,он
роль,роль
в,в
своём,свой
мюзикле,мюзикл
никки,никки
но,но
после,после
тридцати,тридцать
девяти,девять
выступлений,выступление
спектакль,спектакль
был,быть
отменён,отменить
в,в
это,это
же,же
время,время
грант,грант
решил,решить
попробовать,попробовать
свои,свой
силы,сила
в,в
киноиндустрии,киноиндустрия
в,в
1931,UNK
году,год
он,он
отправился,отправиться
в,в
голливуд,голливуд
где,где
подписал,подписать
контракт,контракт
со,с
студией,студия
paramount,paramount
выбрав,выбрать
себе,себя
сценический,сценический
псевдоним,псевдоним
кэри,кэри
грант,грант
его,он
полнометражным,полнометражный
дебютом,дебют
стала,стать
комедия,комедия
эта,этот
ночь,ночь
1932,UNK
где,где
он,он
сыграл,сыграть
второстепенного,второстепенный
персонажа,персонаж
спортсмена-метателя,UNK
копья,копьё
стивена,стивен
мэтьюсона,мэтьюсон
в,в
том,тот
же,же
году,год
грант,грант
принял,принять
участие,участие
в,в
съёмках,съёмка
белокурая,белокурый
венера,венера
с,с
марлен,марлен
дитрих,дитрих
дьявол,дьявол
и,и
глубина,глубина
с,с
таллула,таллул
бэнкхед,бэнкхед
и,и
мадам,мадам
баттерфляй,баттерфляй
с,с
сильвией,сильвия
сидни,сидень
эти,этот
работы,работа
не,не
принесли,принести
ему,он
широкой,широкий
известности,известность
но,но
закрепили,закрепить
за,за
ним,они
репутацию,репутация
одного,один
из,из
восходящих,восходящий
актёров,актёр
голливуда,голливуд
с,с
1934,UNK
по,по
1935,UNK
год,год
последовали,последовать
провальные,провальный
фильмы,фильм
с,с
его,он
участием,участие
драма,драма
рождённая,родить
быть,быть
плохой,плохой
1934,UNK
комедии,комедия
поцелуй,поцелуй
и,и
накрась,накрасить
губы,губа
1934,UNK
и,и
дамам,дама
стоит,стоить
послушать,послушать
1934,UNK
а,а
также,также
приключенческая,приключенческий
мелодрама,мелодрама
крылья,крыло
во,в
тьме,тьма
1935,UNK
с,с
мирной,мирный
лой,лой
в,в
этот,этот
же,же
период,период
вышла,выйти
романтическая,романтический
комедия,комедия
джорджа,джордж
кьюкора,кьюкора
сильвия,сильвия
скарлетт,скарлетта
1935,UNK
где,где
грант,грант
предстал,предстать
в,в
роли,роль
мошенника,мошенник
джимми,джимми
монкли,монкли
в,в
паре,пара
с,с
кэтрин,кэтрин
хепбёрн,хепбёрн
несмотря,несмотря
на,на
неудачу,неудача
фильма,фильм
в,в
коммерческом,коммерческий
плане,план
игра,игра
гранта,грант
получила,получить
похвалу,похвала
критиков,критик
в,в
1936,UNK
году,год
когда,когда
истёк,истечь
срок,срок
контракта,контракт
с,с
paramount,paramount
грант,грант
заключил,заключить
совместный,совместный
контракт,контракт
с,с
rko,rko
и,и
columbia,columbia
pictures,pictures
что,что
позволило,позволить
ему,он
выбирать,выбирать
проекты,проект
которые,который
соответствовали,соответствовать
его,он
актёрскому,актёрский
стилю,стиль
вскоре,вскоре
после,после
заключения,заключение
контрактов,контракт
он,он
появился,появиться
в,в
успешных,успешный
комедийных,комедийный
картинах,картина
ставших,стать
знаковыми,знаковый
в,в
его,он
карьере,карьера
топпер,топпер
1937,UNK
с,с
констанс,констанс
беннетт,беннетт
и,и
роландом,роланд
янгом,янг
и,и
ужасная,ужасный
правда,правда
1937,UNK
с,с
айрин,айрин
данн,данна
и,и
ральфом,ральф
беллами,белла
годом,год
позже,поздний
актёр,актёр
вместе,вместе
с,с
кэтрин,кэтрин
хепбёрн,хепбёрн
снялся,сняться
в,в
двух,два
кинолентах,кинолента
воспитание,воспитание
крошки,крошка
и,и
праздник,праздник
несмотря,несмотря
на,на
благожелательные,благожелательный
отзывы,отзыв
критиков,критик
фильмы,фильм
были,быть
плохо,плохо
приняты,принять
публикой,публика
лишь,лишь
только,только
спустя,спустя
годы,год
воспитание,воспитание
крошки,крошка
обрёл,обрести
популярность,популярность
и,и
приобрёл,приобрести
культовый,культовый
статус,статус
в,в
1939,UNK
году,год
грант,грант
исполнил,исполнить
роли,роль
сержанта,сержант
британской,британский
армии,армия
арчибальда,арчибальд
каттера,каттер
в,в
приключенческом,приключенческий
фильме,фильм
ганга,ганг
дин,дин
пилота,пилот
джеффа,джефф
картера,картер
в,в
драме,драма
только,только
у,у
ангелов,ангел
есть,есть
крылья,крыло
и,и
богача,богач
алека,алек
уокера,уокер
в,в
мелодраме,мелодрама
лишь,лишь
на,на
словах,слово
с,с
начала,начало
кинокарьеры,кинокарьера
за,за
кэри,кэри
грантом,грант
закрепилось,закрепиться
амплуа,амплуа
красивого,красивый
ухоженного,уходить
светского,светский
человека,человек
с,с
необычным,необычный
акцентом,акцент
обладающего,обладать
безупречными,безупречный
манерами,манер
остроумием,остроумие
и,и
элегантностью,элегантность
на,на
многие,многие
годы,год
вперёд,вперёд
также,также
отличительной,отличительный
особенностью,особенность
гранта,грант
являлся,являться
его,он
уникальный,уникальный
акцент,акцент
своеобразное,своеобразный
произношение,произношение
у,у
него,он
сформировалось,сформироваться
в,в
результате,результат
усердных,усердный
попыток,попытка
избавиться,избавиться
от,от
сильного,сильный
лондонского,лондонский
акцента,акцент
рабочего,рабочий
класса,класс
после,после
переезда,переезд
в,в
сша,сша
и,и
представляло,представлять
собой,себя
сочетание,сочетание
английского,английский
языка,язык
высшего,высокий
общества,общество
кокни,кокнуть
и,и
австралийского,австралийский
диалекта,диалект
годы,год
спустя,спустя
такой,такой
акцент,акцент
стал,стать
визитной,визитный
карточкой,карточка
актёра,актёр
кинокарьера,кинокарьера
в,в
1940-х,UNK
годах,год
в,в
1940,UNK
году,год
грант,грант
снялся,сняться
в,в
романтической,романтический
комедии,комедия
говарда,говард
хоукса,хоукса
его,он
девушка,девушка
пятница,пятница
в,в
этой,этот
картине,картина
он,он
воплотил,воплотить
образ,образ
самоуверенного,самоуверенный
и,и
властолюбивого,властолюбивый
главного,главное
редактора,редактор
чикагской,чикагский
газеты,газета
стремящегося,стремиться
вернуть,вернуть
бывшую,бывший
супругу,супруг
и,и
лучшего,хороший
репортёра,репортёр
сыгранную,сыгранный
розалинд,розалинда
расселл,расселла
фильм,фильм
имел,иметь
большой,большой
коммерческий,коммерческий
успех,успех
как,как
следующие,следующий
фильмы,фильм
с,с
участием,участие
актёра,актёр
моя,мой
любимая,любимый
супруга,супруг
1940,UNK
с,с
айрин,айрин
данн,данна
и,и
филадельфийская,филадельфийский
история,история
1940,UNK
с,с
кэтрин,кэтрин
хепбёрн,хепбёрн
и,и
джеймсом,джеймс
стюартом,стюарт
в,в
1941,UNK
году,год
грант,грант
исполнил,исполнить
роль,роль
журналиста,журналист
роджера,роджер
адамса,адамс
в,в
чрезвычайно,чрезвычайно
успешной,успешный
мелодраме,мелодрама
грошовая,грошовый
серенада,серенада
где,где
его,он
партнёршей,партнёрша
в,в
третий,третий
раз,раз
стала,стать
актриса,актриса
айрин,айрин
данн,данна
фильм,фильм
был,быть
высоко,высоко
оценен,оценить
критиками,критик
и,и
принёс,принести
гранту,грант
первую,первый
номинацию,номинация
на,на
премию,премия
оскар,оскар
в,в
категории,категория
лучшая,хороший
мужская,мужской
роль,роль
в,в
том,тот
же,же
году,год
режиссёр,режиссёр
альфред,альфред
хичкок,хичкок
впервые,впервые
пригласил,пригласить
актёра,актёр
сняться,сняться
в,в
психологическом,психологический
триллере,триллер
подозрение,подозрение
что,что
положило,положить
начало,начало
их,они
сотрудничеству,сотрудничество
он,он
сыграл,сыграть
обаятельного,обаятельный
плейбоя,плейбой
джонни,джонни
эйсгарта,эйсгарт
который,который
женится,жениться
на,на
девушке,девушка
из,из
богатой,богатый
семьи,семья
джоан,джоан
фонтейн,фонтейн
и,и
она,она
начинает,начинать
подозревать,подозревать
мужа,муж
в,в
убийстве,убийство
друга,друг
а,а
потом,потом
и,и
в,в
попытке,попытка
убить,убить
её,её
саму,сам
ради,ради
денег,деньга
в,в
фильме,фильм
грант,грант
предстал,предстать
в,в
двух,два
разных,разный
образах,образ
привлекательного,привлекательный
но,но
непутёвого,непутёвый
повесы,повеса
и,и
более,более
мрачного,мрачный
зловещего,зловещий
героя,герой
способного,способный
на,на
совершение,совершение
преступления,преступление
несмотря,несмотря
на,на
навязанный,навязать
киностудией,киностудия
счастливый,счастливый
финал,финал
фильм,фильм
был,быть
тепло,тепло
встречен,встретить
публикой,публика
а,а
работа,работа
самого,сам
гранта,грант
удостоилась,удостоиться
высокой,высокий
оценки,оценка
критики,критика
в,в
период,период
с,с
1942,UNK
по,по
1943,UNK
год,год
грант,грант
снялся,сняться
в,в
нескольких,несколько
картинах,картина
имевших,иметь
оглушительный,оглушительный
успех,успех
комедии,комедия
весь,весь
город,город
говорит,говорить
1942,UNK
и,и
однажды,однажды
в,в
медовый,медовый
месяц,месяц
1942,UNK
романтическом,романтический
фильме,фильм
мистер,мистер
счастливчик,счастливчик
1943,UNK
и,и
военном,военный
фильме,фильм
курс,курс
на,на
токио,токио
1943,UNK
в,в
1944,UNK
году,год
был,быть
выпущен,выпустить
фильм,фильм
фрэнка,фрэнк
капры,капра
мышьяк,мышьяк
и,и
старые,старый
кружева,кружево
снятом,снятой
по,по
одноимённой,одноимённый
пьесе,пьеса
джозефа,джозеф
кессельринга,кессельринг
в,в
нём,он
грант,грант
сыграл,сыграть
театрального,театральный
критика,критика
мортимера,мортимера
брюстера,брюстер
узнавшего,узнать
страшную,страшный
правду,правда
о,о
своих,свой
благодетельных,благодетельный
тётушках,тётушка
лента,лента
пользовалась,пользоваться
большой,большой
популярностью,популярность
в,в
прокате,прокат
сам,сам
актёр,актёр
впоследствии,впоследствии
расценивал,расценивать
свою,свой
игру,игра
в,в
этой,этот
картине,картина
как,как
худшую,плохой
в,в
своей,свой
карьере,карьера
в,в
том,тот
же,же
году,год
грант,грант
участвовал,участвовать
в,в
съёмках,съёмка
драматического,драматический
фильма,фильм
только,только
одинокое,одинокий
сердце,сердце
киноадаптации,киноадаптация
одноимённой,одноимённый
книги,книга
ричарда,ричард
луэллина,луэллин
роль,роль
молодого,молодой
и,и
безответственного,безответственный
бездельника,бездельник
эрни,эрня
мотта,мотт
принесла,принести
актёру,актёр
вторую,второй
номинацию,номинация
на,на
премию,премия
оскар,оскар
в,в
1946,UNK
году,год
грант,грант
вновь,вновь
поработал,поработать
с,с
хичкоком,хичкок
на,на
съёмочной,съёмочный
площадке,площадка
шпионского,шпионский
триллера,триллер
дурная,дурной
слава,слава
где,где
в,в
главных,главный
ролях,роль
снялись,сняться
ингрид,ингрид
бергман,бергман
и,и
клод,клод
рейнс,рейнс
он,он
исполнил,исполнить
роль,роль
циничного,циничный
правительственного,правительственный
агента,агент
девлина,девлина
который,который
добивается,добиваться
сотрудничества,сотрудничество
от,от
дочери,дочь
нацистского,нацистский
шпиона,шпион
бергман,бергман
для,для
выполнения,выполнение
особого,особый
задания,задание
и,и
вскоре,вскоре
влюбляется,влюбляться
в,в
неё,она
картина,картина
получила,получить
широкое,широкий
признание,признание
среди,среди
критиков,критик
и,и
стала,стать
знаковой,знаковый
как,как
в,в
карьере,карьера
актёра,актёр
так,так
и,и
для,для
самого,сам
режиссёра,режиссёр
во,в
второй,второй
половине,половина
1940-х,UNK
годов,год
грант,грант
снялся,сняться
в,в
ряде,ряд
успешных,успешный
комедийных,комедийный
фильмов,фильм
холостяк,холостяк
и,и
девчонка,девчонка
1947,UNK
режиссёра,режиссёр
сидни,сидень
шелдона,шелдон
и,и
мистер,мистер
блэндингз,блэндингз
строит,строить
дом,дом
своей,свой
мечты,мечта
1948,UNK
режиссёра,режиссёр
г,г
к,к
поттера,поттер
эти,этот
картины,картина
пользовались,пользоваться
популярностью,популярность
у,у
публики,публика
как,как
и,и
другие,другой
работы,работа
с,с
участием,участие
актёра,актёр
жена,жена
епископа,епископ
1947,UNK
в,в
роли,роль
ангела,ангела
дадли,дадли
каждая,каждый
девушка,девушка
должна,должный
выйти,выйти
замуж,замуж
1948,UNK
в,в
роли,роль
доктора,доктор
мэдисона,мэдисон
брауна,браун
и,и
солдат,солдат
в,в
юбке,юбка
1949,UNK
в,в
роли,роль
капитана,капитан
анри,анри
рошара,рошара
дальнейшая,дальнейший
актёрская,актёрский
карьера,карьера
с,с
первой,первый
половины,половина
1950-х,UNK
годов,год
актёрская,актёрский
карьера,карьера
кэри,кэри
гранта,грант
претерпела,претерпеть
значительный,значительный
спад,спад
он,он
снялся,сняться
в,в
коммерчески,коммерчески
неудачных,неудачный
фильмах,фильм
включая,включая
кризис,кризис
1950,UNK
с,с
хосе,хосе
феррером,феррер
и,и
полой,полый
реймонд,реймонд
что,что
скажут,сказать
люди,человек
1951,UNK
с,с
джинн,джинн
крейн,крейн
и,и
обезьяньи,обезьяний
проделки,проделка
1952,UNK
с,с
участием,участие
джинджер,джинджер
роджерс,роджерс
и,и
мэрилин,мэрилин
монро,монро
после,после
серии,серия
провальных,провальный
кинокартин,кинокартина
актёр,актёр
рассматривал,рассматривать
возможность,возможность
ухода,уход
из,из
кинематографа,кинематограф
однако,однако
его,он
планы,план
изменились,измениться
когда,когда
в,в
1954,UNK
году,год
альфред,альфред
хичкок,хичкок
предложил,предложить
ему,он
роль,роль
джона,джон
роби,робь
в,в
фильме,фильм
поймать,поймать
вора,вор
1955,UNK
где,где
его,он
партнёршей,партнёрша
стала,стать
грейс,грейс
келли,келли
в,в
этой,этот
картине,картина
грант,грант
предстал,предстать
в,в
образе,образ
бывшего,бывший
вора,вор
попавшего,попасть
под,под
подозрение,подозрение
из-за,UNK
череды,череда
ограблений,ограбление
которых,который
он,он
не,не
совершал,совершать
хотя,хотя
критики,критика
отнеслись,отнестись
к,к
фильму,фильм
неоднозначно,неоднозначно
он,он
пользовался,пользоваться
популярностью,популярность
у,у
зрителей,зритель
и,и
имел,иметь
высокие,высокий
кассовые,кассовый
сборы,сбор
что,что
в,в
значительной,значительный
степени,степень
способствовало,способствовать
возрождению,возрождение
карьеры,карьера
гранта,грант
в,в
1957,UNK
году,год
грант,грант
вместе,вместе
с,с
фрэнком,фрэнк
синатрой,синатрой
и,и
софи,софи
лорен,лорен
участвовал,участвовать
в,в
съемках,съёмка
костюмированной,костюмировать
исторической,исторический
драмы,драма
режиссёра,режиссёр
стэнли,стэнли
крамера,крамер
гордость,гордость
и,и
страсть,страсть
несмотря,несмотря
на,на
трудности,трудность
в,в
процессе,процесс
производства,производство
фильм,фильм
получил,получить
преимущественно,преимущественно
негативные,негативный
критические,критический
отзывы,отзыв
в,в
том,тот
же,же
году,год
актёр,актёр
появился,появиться
в,в
ремейке,ремейк
лео,лео
маккэри,маккэри
незабываемый,незабываемый
роман,роман
который,который
стал,стать
хитом,хит
в,в
прокате,прокат
аналогичный,аналогичный
успех,успех
продолжили,продолжить
его,он
последующие,последующий
проекты,проект
которые,который
вышли,выйти
в,в
1958,UNK
году,год
романтические,романтический
комедии,комедия
стэнли,стэнли
донена,донить
милый,милый
сэр,сэр
и,и
мелвилла,мелвилл
шавельзона,шавельзон
плавучий,плавучий
дом,дом
вышедший,выйти
год,год
спустя,спустя
приключенческо-шпионский,UNK
триллер,триллер
к,к
северу,север
через,через
северо-запад,UNK
стал,стать
четвёртой,четвёртый
и,и
последней,последний
совместной,совместный
работой,работа
гранта,грант
и,и
хичкока,хичкок
роль,роль
рекламного,рекламный
менеджера,менеджер
роджера,роджер
торнхилла,торнхилл
которого,который
группа,группа
иностранных,иностранный
шпионов,шпион
ошибочно,ошибочно
приняла,принять
за,за
американского,американский
агента,агент
разведки,разведка
стала,стать
наиболее,наиболее
известной,известный
работой,работа
в,в
карьере,карьера
гранта,грант
кинолента,кинолента
приобрела,приобрести
большую,больший
известность,известность
и,и
вошла,войти
в,в
историю,история
благодаря,благодаря
культовой,культовый
сцене,сцена
когда,когда
герой,герой
гранта,грант
убегает,убегать
от,от
атакующего,атаковать
его,он
самолёта,самолёт
на,на
кукурузном,кукурузный
поле,поле
также,также
заметной,заметный
работой,работа
актёра,актёр
в,в
конце,конец
1950-х,UNK
годов,год
стала,стать
роль,роль
коммандера-лейтенанта,UNK
мэттью,мэттью
шермана,шермана
в,в
картине,картина
операция,операция
нижняя,нижний
юбка,юбка
1959,UNK
в,в
1960,UNK
году,год
грант,грант
присоединился,присоединиться
к,к
звёздному,звёздный
актёрскому,актёрский
составу,состав
в,в
который,который
входили,входить
дебора,дебора
керр,керра
роберт,роберт
митчем,митч
и,и
джин,джина
симмонс,симмонс
для,для
работы,работа
над,над
фильмом,фильм
стэнли,стэнли
донена,донить
трава,трава
зеленее,зелёный
фильм,фильм
не,не
достиг,достигнуть
ожидаемого,ожидать
успеха,успех
ни,ни
среди,среди
критиков,критик
ни,ни
среди,среди
зрителей,зритель
два,два
года,год
спустя,спустя
грант,грант
вместе,вместе
с,с
дорис,дорис
дэй,дэя
снялся,сняться
в,в
фильме,фильм
этот,этот
мех,мех
норки,норка
который,который
получил,получить
высокую,высокий
оценку,оценка
критиков,критик
а,а
также,также
три,три
номинации,номинация
на,на
премию,премия
оскар,оскар
следующие,следующий
фильмы,фильм
с,с
участием,участие
актёра,актёр
детективная,детективный
мелодрама,мелодрама
шарада,шарада
1963,UNK
с,с
одри,одри
хепбёрн,хепбёрн
и,и
романтическая,романтический
комедия,комедия
папа,папа
гусь,гусь
1964,UNK
благосклонно,благосклонно
были,быть
приняты,принять
кинокритиками,кинокритик
последней,последний
ролью,роль
гранта,грант
в,в
кино,кино
стала,стать
роль,роль
британского,британский
промышленника,промышленник
сэра,сэр
уильяма,уильям
ратленда,ратленд
в,в
фильме,фильм
иди,идти
а,а
не,не
беги,бежать
1966,UNK
после,после
завершения,завершение
съёмок,съёмка
этого,это
фильма,фильм
грант,грант
окончательно,окончательно
ушёл,уйти
из,из
киноиндустрии,киноиндустрия
начав,начать
заниматься,заниматься
предпринимательской,предпринимательский
деятельностью,деятельность
фильмография,фильмография
в,в
кинематографе,кинематограф
художественные,художественный
фильмы,фильм
a,a
фильмы,фильм
внесённые,внести
в,в
национальный,национальный
реестр,реестр
фильмов,фильм
библиотеки,библиотека
конгресса,конгресс
сша,сша
другие,другой
появления,появление
документальные,документальный
и,и
короткометражные,короткометражный
фильмы,фильм
a,a
короткометражный,короткометражный
фильм,фильм
b,b
короткометражный,короткометражный
документальный,документальный
фильм,фильм
c,c
документальный,документальный
фильм,фильм
радио,радио
помимо,помимо
съёмок,съёмка
в,в
кино,кино
грант,грант
также,также
работал,работать
на,на
радио,радио
он,он
впервые,впервые
появился,появиться
в,в
эфире,эфир
в,в
1935,UNK
году,год
и,и
продолжал,продолжать
выступать,выступать
в,в
радиопередачах,радиопередача
в,в
течение,течение
следующих,следующий
двадцати,двадцать
лет,год
грант,грант
регулярно,регулярно
появлялся,появляться
в,в
таких,такой
программах,программа
как,как
радиотеатр,радиотеатр
люкс,люкс
театр,театр
гильдии,гильдия
киноактёров,киноактёр
серебряный,серебряный
театр,театр
где,где
исполнял,исполнять
различные,различный
роли,роль
в,в
радиоспектаклях,радиоспектакль
включая,включая
адаптации,адаптация
своих,свой
успешных,успешный
фильмов,фильм
также,также
он,он
часто,часто
появлялся,появляться
в,в
качестве,качество
приглашённого,пригласить
гостя,гость
на,на
различных,различный
развлекательных,развлекательный
шоу,шоу
как,как
шоу,шоу
эдди,эдди
кантора,кантор
и,и
шоу,шоу
бёрнса,бёрнс
и,и
аллена,аллен
театр,театр
кинонаграды,кинонаграда
и,и
наследие,наследие
десять,десять
фильмов,фильм
с,с
участием,участие
кэри,кэри
гранта,грант
были,быть
внесены,внести
в,в
национальный,национальный
реестр,реестр
фильмов,фильм
библиотеки,библиотека
конгресса,конгресс
сша,сша
среди,среди
них,они
три,три
фильма,фильм
воспитание,воспитание
крошки,крошка
1938,UNK
филадельфийская,филадельфийский
история,история
1940,UNK
и,и
к,к
северу,север
через,через
северо-запад,UNK
1959,UNK
входят,входить
в,в
список,список
100,UNK
величайших,великий
американских,американский
кинофильмов,кинофильм
по,по
версии,версия
американского,американский
института,институт
киноискусства,киноискусство
afi,afi
также,также
два,два
фильма,фильм
дурная,дурной
слава,слава
1946,UNK
и,и
к,к
северу,север
через,через
северо-запад,UNK
1959,UNK
попали,попасть
в,в
список,список
100,UNK
величайших,великий
фильмов,фильм
