token,lemma
уличный,уличный
певец,певец
»,UNK
",",UNK
«,UNK
музыка,музыка
в,в
мае,май
»,UNK
и,и
«,UNK
нина,нина
роза,роза
»,UNK
",",UNK
пока,пока
не,не
был,быть
уволен,уволить
из-за,UNK
финансовых,финансовый
трудностей,трудность
театра,театр
.,UNK
позже,поздний
импресарио,импресарио
уильям,уильям
б,б
.,UNK
фридландер,фридландер
предложил,предложить
ему,он
роль,роль
в,в
своём,свой
мюзикле,мюзикл
«,UNK
никки,никки
»,UNK
",",UNK
но,но
после,после
тридцати,тридцать
девяти,девять
выступлений,выступление
спектакль,спектакль
был,быть
отменён,отменить
.,UNK
в,в
это,это
же,же
время,время
грант,грант
решил,решить
попробовать,попробовать
свои,свой
силы,сила
в,в
киноиндустрии,киноиндустрия
.,UNK
в,в
1931,UNK
году,год
он,он
отправился,отправиться
в,в
голливуд,голливуд
",",UNK
где,где
подписал,подписать
контракт,контракт
со,с
студией,студия
paramount,paramount
",",UNK
выбрав,выбрать
себе,себя
сценический,сценический
псевдоним,псевдоним
«,UNK
кэри,кэри
грант,грант
»,UNK
.,UNK
его,он
полнометражным,полнометражный
дебютом,дебют
стала,стать
комедия,комедия
«,UNK
эта,этот
ночь,ночь
»,UNK
(,UNK
1932,UNK
),UNK
",",UNK
где,где
он,он
сыграл,сыграть
второстепенного,второстепенный
персонажа,персонаж
—,UNK
спортсмена-метателя,UNK
копья,копье
стивена,стивен
мэтьюсона,мэтьюсон
.,UNK
в,в
том,тот
же,же
году,год
грант,грант
принял,принять
участие,участие
в,в
съёмках,съемка
«,UNK
белокурая,белокурый
венера,венера
»,UNK
с,с
марлен,марлен
дитрих,дитрих
",",UNK
«,UNK
дьявол,дьявол
и,и
глубина,глубина
»,UNK
с,с
таллула,таллул
бэнкхед,бэнкхед
и,и
«,UNK
мадам,мадам
баттерфляй,баттерфляй
»,UNK
с,с
сильвией,сильвия
сидни,сидень
.,UNK
эти,этот
работы,работа
не,не
принесли,принести
ему,он
широкой,широкий
известности,известность
",",UNK
но,но
закрепили,закрепить
за,за
ним,он
репутацию,репутация
одного,один
из,из
восходящих,восходящий
актёров,актер
голливуда,голливуд
.,UNK
с,с
1934,UNK
по,по
1935,UNK
год,год
последовали,последовать
провальные,провальный
фильмы,фильм
с,с
его,его
участием,участие
:,UNK
драма,драма
«,UNK
рождённая,рожденная
быть,быть
плохой,плохой
»,UNK
(,UNK
1934,UNK
),UNK
",",UNK
комедии,комедия
«,UNK
поцелуй,поцелуй
и,и
накрась,накрась
губы,губа
»,UNK
(,UNK
1934,UNK
),UNK
и,и
«,UNK
дамам,дама
стоит,стоить
послушать,послушать
»,UNK
(,UNK
1934,UNK
),UNK
",",UNK
а,а
также,также
приключенческая,приключенческий
мелодрама,мелодрама
«,UNK
крылья,крыло
во,в
тьме,тьма
»,UNK
(,UNK
1935,UNK
),UNK
с,с
мирной,мирный
лой,лой
.,UNK
в,в
этот,этот
же,же
период,период
вышла,выйти
романтическая,романтический
комедия,комедия
джорджа,джордж
кьюкора,кьюкор
«,UNK
сильвия,сильвия
скарлетт,скарлетта
»,UNK
(,UNK
1935,UNK
),UNK
",",UNK
где,где
грант,грант
предстал,предстать
в,в
роли,роль
мошенника,мошенник
джимми,джимми
монкли,монкли
в,в
паре,пара
с,с
кэтрин,кэтрин
хепбёрн,хепберн
.,UNK
несмотря,несмотря
на,на
неудачу,неудача
фильма,фильм
в,в
коммерческом,коммерческий
плане,план
",",UNK
игра,игра
гранта,грант
получила,получить
похвалу,похвала
критиков,критик
.,UNK
в,в
1936,UNK
году,год
",",UNK
когда,когда
истёк,истечь
срок,срок
контракта,контракт
с,с
paramount,paramount
",",UNK
грант,грант
заключил,заключить
совместный,совместный
контракт,контракт
с,с
rko,rko
и,и
columbia,columbia
pictures,pictures
",",UNK
что,что
позволило,позволить
ему,он
выбирать,выбирать
проекты,проект
",",UNK
которые,который
соответствовали,соответствовать
его,его
актёрскому,актерский
стилю,стиль
.,UNK
вскоре,вскоре
после,после
заключения,заключение
контрактов,контракт
он,он
появился,появиться
в,в
успешных,успешный
комедийных,комедийный
картинах,картина
",",UNK
ставших,стать
знаковыми,знаковый
в,в
его,его
карьере,карьера
:,UNK
«,UNK
топпер,топпер
»,UNK
(,UNK
1937,UNK
),UNK
с,с
констанс,констанс
беннетт,беннетт
и,и
роландом,роланд
янгом,янг
и,и
«,UNK
ужасная,ужасный
правда,правда
»,UNK
(,UNK
1937,UNK
),UNK
с,с
айрин,айрин
данн,данна
и,и
ральфом,ральф
беллами,белла
.,UNK
годом,год
позже,поздний
актёр,актер
вместе,вместе
с,с
кэтрин,кэтрин
хепбёрн,хепберн
снялся,сняться
в,в
двух,два
кинолентах,кинолента
:,UNK
«,UNK
воспитание,воспитание
крошки,крошка
»,UNK
и,и
«,UNK
праздник,праздник
»,UNK
.,UNK
несмотря,несмотря
на,на
благожелательные,благожелательный
отзывы,отзыв
критиков,критик
",",UNK
фильмы,фильм
были,быть
плохо,плохо
приняты,принять
публикой,публика
.,UNK
лишь,лишь
только,только
спустя,спустя
годы,год
«,UNK
воспитание,воспитание
крошки,крошка
»,UNK
обрёл,обрести
популярность,популярность
и,и
приобрёл,приобрести
культовый,культовый
статус,статус
.,UNK
в,в
1939,UNK
году,год
грант,грант
исполнил,исполнить
роли,роль
сержанта,сержант
британской,британский
армии,армия
арчибальда,арчибальд
каттера,каттер
в,в
приключенческом,приключенческий
фильме,фильм
«,UNK
ганга,ганг
дин,дин
»,UNK
",",UNK
пилота,пилот
джеффа,джефф
картера,картер
в,в
драме,драма
«,UNK
только,только
у,у
ангелов,ангел
есть,быть
крылья,крыло
»,UNK
и,и
богача,богач
алека,алек
уокера,уокер
в,в
мелодраме,мелодрама
«,UNK
лишь,лишь
на,на
словах,слово
»,UNK
.,UNK
с,с
начала,начало
кинокарьеры,кинокарьера
за,за
кэри,кэри
грантом,грант
закрепилось,закрепиться
амплуа,амплуа
«,UNK
красивого,красивый
",",UNK
ухоженного,ухоженный
светского,светский
человека,человек
с,с
необычным,необычный
акцентом,акцент
",",UNK
обладающего,обладать
безупречными,безупречный
манерами,манер
",",UNK
остроумием,остроумие
и,и
элегантностью,элегантность
»,UNK
на,на
многие,многий
годы,год
вперёд,вперед
.,UNK
также,также
отличительной,отличительный
особенностью,особенность
гранта,грант
являлся,являться
его,его
уникальный,уникальный
акцент,акцент
.,UNK
своеобразное,своеобразный
произношение,произношение
у,у
него,он
сформировалось,сформироваться
в,в
результате,результат
усердных,усердный
попыток,попытка
избавиться,избавиться
от,от
сильного,сильный
лондонского,лондонский
акцента,акцент
рабочего,рабочий
класса,класс
после,после
переезда,переезд
в,в
сша,сша
и,и
представляло,представлять
собой,себя
сочетание,сочетание
английского,английский
языка,язык
высшего,высокий
общества,общество
",",UNK
кокни,кокнуть
и,и
австралийского,австралийский
диалекта,диалект
.,UNK
годы,год
спустя,спустя
",",UNK
такой,такой
акцент,акцент
стал,стать
визитной,визитный
карточкой,карточка
актёра,актер
.,UNK
=,UNK
=,UNK
кинокарьера,кинокарьера
в,в
1940-х,UNK
годах,год
=,UNK
=,UNK
в,в
1940,UNK
году,год
грант,грант
снялся,сняться
в,в
романтической,романтический
комедии,комедия
говарда,говард
хоукса,хоукса
«,UNK
его,он
девушка,девушка
пятница,пятница
»,UNK
.,UNK
в,в
этой,этот
картине,картина
он,он
воплотил,воплотить
образ,образ
самоуверенного,самоуверенный
и,и
властолюбивого,властолюбивый
главного,главный
редактора,редактор
чикагской,чикагский
газеты,газета
",",UNK
стремящегося,стремиться
вернуть,вернуть
бывшую,бывший
супругу,супруг
и,и
лучшего,хороший
репортёра,репортер
",",UNK
сыгранную,сыграть
розалинд,розалинда
расселл,расселл
.,UNK
фильм,фильм
имел,иметь
большой,большой
коммерческий,коммерческий
успех,успех
",",UNK
как,как
следующие,следующий
фильмы,фильм
с,с
участием,участие
актёра,актер
:,UNK
«,UNK
моя,мой
любимая,любимый
супруга,супруг
»,UNK
(,UNK
1940,UNK
),UNK
с,с
айрин,айрин
данн,данна
и,и
«,UNK
филадельфийская,филадельфийский
история,история
»,UNK
(,UNK
1940,UNK
),UNK
с,с
кэтрин,кэтрин
хепбёрн,хепберн
и,и
джеймсом,джеймс
стюартом,стюарт
.,UNK
в,в
1941,UNK
году,год
грант,грант
исполнил,исполнить
роль,роль
журналиста,журналист
роджера,роджер
адамса,адамс
в,в
чрезвычайно,чрезвычайно
успешной,успешный
мелодраме,мелодрама
«,UNK
грошовая,грошовый
серенада,серенада
»,UNK
",",UNK
где,где
его,его
партнёршей,партнерша
в,в
третий,третий
раз,раз
стала,стать
актриса,актриса
айрин,айрин
данн,данна
.,UNK
фильм,фильм
был,быть
высоко,высоко
оценен,оценить
критиками,критик
и,и
принёс,принести
гранту,грант
первую,первый
номинацию,номинация
на,на
премию,премия
«,UNK
оскар,оскар
»,UNK
в,в
категории,категория
«,UNK
лучшая,хороший
мужская,мужской
роль,роль
»,UNK
.,UNK
в,в
том,тот
же,же
году,год
режиссёр,режиссер
альфред,альфред
хичкок,хичкок
впервые,впервые
пригласил,пригласить
актёра,актер
сняться,сняться
в,в
психологическом,психологический
триллере,триллер
«,UNK
подозрение,подозрение
»,UNK
",",UNK
что,что
положило,положить
начало,начало
их,их
сотрудничеству,сотрудничество
.,UNK
он,он
сыграл,сыграть
обаятельного,обаятельный
плейбоя,плейбой
джонни,джонни
эйсгарта,эйсгарт
",",UNK
который,который
женится,жениться
на,на
девушке,девушка
из,из
богатой,богатый
семьи,семья
(,UNK
джоан,джоан
фонтейн,фонтейн
),UNK
и,и
она,она
начинает,начинать
подозревать,подозревать
мужа,муж
в,в
убийстве,убийство
друга,друг
",",UNK
а,а
потом,потом
и,и
в,в
попытке,попытка
убить,убить
её,она
саму,сам
ради,ради
денег,деньга
.,UNK
в,в
фильме,фильм
грант,грант
предстал,предстать
в,в
двух,два
разных,разный
образах,образ
:,UNK
привлекательного,привлекательный
",",UNK
но,но
непутёвого,непутевый
повесы,повеса
и,и
более,более
мрачного,мрачный
",",UNK
зловещего,зловещий
героя,герой
",",UNK
способного,способный
на,на
совершение,совершение
преступления,преступление
.,UNK
несмотря,несмотря
на,на
навязанный,навязать
киностудией,киностудия
счастливый,счастливый
финал,финал
",",UNK
фильм,фильм
был,быть
тепло,тепло
встречен,встретить
публикой,публика
",",UNK
а,а
работа,работа
самого,сам
гранта,грант
удостоилась,удостоиться
высокой,высокий
оценки,оценка
критики,критика
.,UNK
в,в
период,период
с,с
1942,UNK
по,по
1943,UNK
год,год
грант,грант
снялся,сняться
в,в
нескольких,несколько
картинах,картина
",",UNK
имевших,иметь
оглушительный,оглушительный
успех,успех
—,UNK
комедии,комедия
«,UNK
весь,весь
город,город
говорит,говорить
»,UNK
(,UNK
1942,UNK
),UNK
и,и
«,UNK
однажды,однажды
в,в
медовый,медовый
месяц,месяц
»,UNK
(,UNK
1942,UNK
),UNK
",",UNK
романтическом,романтический
фильме,фильм
«,UNK
мистер,мистер
счастливчик,счастливчик
»,UNK
(,UNK
1943,UNK
),UNK
и,и
военном,военный
фильме,фильм
«,UNK
курс,курс
на,на
токио,токио
»,UNK
(,UNK
1943,UNK
),UNK
.,UNK
в,в
1944,UNK
году,год
был,быть
выпущен,выпустить
фильм,фильм
фрэнка,фрэнк
капры,капра
«,UNK
мышьяк,мышьяк
и,и
старые,старый
кружева,кружево
»,UNK
",",UNK
снятом,снять
по,по
одноимённой,одноименный
пьесе,пьеса
джозефа,джозеф
кессельринга,кессельринг
;,UNK
в,в
нём,нем
грант,грант
сыграл,сыграть
театрального,театральный
критика,критик
мортимера,мортимер
брюстера,брюстер
",",UNK
узнавшего,узнать
страшную,страшный
правду,правда
о,о
своих,свой
благодетельных,благодетельный
тётушках,тетушка
.,UNK
лента,лента
пользовалась,пользоваться
большой,большой
популярностью,популярность
в,в
прокате,прокат
",",UNK
сам,сам
актёр,актер
впоследствии,впоследствии
расценивал,расценивать
свою,свой
игру,игра
в,в
этой,этот
картине,картина
как,как
худшую,плохой
в,в
своей,свой
карьере,карьера
.,UNK
в,в
том,тот
же,же
году,год
грант,грант
участвовал,участвовать
в,в
съёмках,съемка
драматического,драматический
фильма,фильм
«,UNK
только,только
одинокое,одинокий
сердце,сердце
»,UNK
",",UNK
киноадаптации,киноадаптация
одноимённой,одноименный
книги,книга
ричарда,ричард
луэллина,луэллин
.,UNK
роль,роль
молодого,молодой
и,и
безответственного,безответственный
бездельника,бездельник
эрни,эрня
мотта,мотт
принесла,принести
актёру,актер
вторую,второй
номинацию,номинация
на,на
премию,премия
«,UNK
оскар,оскар
»,UNK
.,UNK
в,в
1946,UNK
году,год
грант,грант
вновь,вновь
поработал,поработать
с,с
хичкоком,хичкок
на,на
съёмочной,съемочный
площадке,площадка
шпионского,шпионский
триллера,триллер
«,UNK
дурная,дурной
слава,слава
»,UNK
",",UNK
где,где
в,в
главных,главный
ролях,роль
снялись,сняться
ингрид,ингрид
бергман,бергман
и,и
клод,клод
рейнс,рейнс
.,UNK
он,он
исполнил,исполнить
роль,роль
циничного,циничный
правительственного,правительственный
агента,агент
девлина,девлина
",",UNK
который,который
добивается,добиваться
сотрудничества,сотрудничество
от,от
дочери,дочь
нацистского,нацистский
шпиона,шпион
(,UNK
бергман,бергман
),UNK
для,для
выполнения,выполнение
особого,особый
задания,задание
и,и
вскоре,вскоре
влюбляется,влюбляться
в,в
неё,она
.,UNK
картина,картина
получила,получить
широкое,широкий
признание,признание
среди,среди
критиков,критик
и,и
стала,стать
знаковой,знаковый
как,как
в,в
карьере,карьера
актёра,актер
",",UNK
так,так
и,и
для,для
самого,сам
режиссёра,режиссер
.,UNK
во,в
второй,второй
половине,половина
1940-х,UNK
годов,год
грант,грант
снялся,сняться
в,в
ряде,ряд
успешных,успешный
комедийных,комедийный
фильмов,фильм
:,UNK
«,UNK
холостяк,холостяк
и,и
девчонка,девчонка
»,UNK
(,UNK
1947,UNK
),UNK
режиссёра,режиссер
сидни,сидень
шелдона,шелдон
и,и
«,UNK
мистер,мистер
блэндингз,блэндингз
строит,строить
дом,дом
своей,свой
мечты,мечта
»,UNK
(,UNK
1948,UNK
),UNK
режиссёра,режиссер
г,г
.,UNK
к,к
.,UNK
поттера,поттер
.,UNK
эти,этот
картины,картина
пользовались,пользоваться
популярностью,популярность
у,у
публики,публика
",",UNK
как,как
и,и
другие,другой
работы,работа
с,с
участием,участие
актёра,актер
:,UNK
«,UNK
жена,жена
епископа,епископ
»,UNK
(,UNK
1947,UNK
),UNK
в,в
роли,роль
ангела,ангел
дадли,дадли
",",UNK
«,UNK
каждая,каждый
девушка,девушка
должна,должный
выйти,выйти
замуж,замуж
»,UNK
(,UNK
1948,UNK
),UNK
в,в
роли,роль
доктора,доктор
мэдисона,мэдисон
брауна,браун
и,и
«,UNK
солдат,солдат
в,в
юбке,юбка
»,UNK
(,UNK
1949,UNK
),UNK
в,в
роли,роль
капитана,капитан
анри,анри
рошара,рошара
.,UNK
=,UNK
=,UNK
дальнейшая,дальнейший
актёрская,актерский
карьера,карьера
=,UNK
=,UNK
с,с
первой,первый
половины,половина
1950-х,UNK
годов,год
актёрская,актерский
карьера,карьера
кэри,кэри
гранта,грант
претерпела,претерпеть
значительный,значительный
спад,спад
.,UNK
он,он
снялся,сняться
в,в
коммерчески,коммерчески
неудачных,неудачный
фильмах,фильм
",",UNK
включая,включая
«,UNK
кризис,кризис
»,UNK
(,UNK
1950,UNK
),UNK
с,с
хосе,хосе
феррером,феррер
и,и
полой,пола
реймонд,реймонд
",",UNK
«,UNK
что,что
скажут,сказать
люди,человек
»,UNK
(,UNK
1951,UNK
),UNK
с,с
джинн,джинн
крейн,крейн
и,и
«,UNK
обезьяньи,обезьяний
проделки,проделка
»,UNK
(,UNK
1952,UNK
),UNK
с,с
участием,участие
джинджер,джинджер
роджерс,роджерс
и,и
мэрилин,мэрилин
монро,монро
.,UNK
после,после
серии,серия
провальных,провальный
кинокартин,кинокартина
актёр,актер
рассматривал,рассматривать
возможность,возможность
ухода,уход
из,из
кинематографа,кинематограф
.,UNK
однако,однако
его,его
планы,план
изменились,измениться
",",UNK
когда,когда
в,в
1954,UNK
году,год
альфред,альфред
хичкок,хичкок
предложил,предложить
ему,он
роль,роль
джона,джон
роби,роби
в,в
фильме,фильм
«,UNK
поймать,поймать
вора,вор
»,UNK
(,UNK
1955,UNK
),UNK
",",UNK
где,где
его,он
партнёршей,партнерша
стала,стать
грейс,грейс
келли,келли
.,UNK
в,в
этой,этот
картине,картина
грант,грант
предстал,предстать
в,в
образе,образ
бывшего,бывший
вора,вор
",",UNK
попавшего,попасть
под,под
подозрение,подозрение
из-за,UNK
череды,череда
ограблений,ограбление
",",UNK
которых,который
он,он
не,не
совершал,совершать
.,UNK
хотя,хотя
критики,критик
отнеслись,отнестись
к,к
фильму,фильм
неоднозначно,неоднозначно
",",UNK
он,он
пользовался,пользоваться
популярностью,популярность
у,у
зрителей,зритель
и,и
имел,иметь
высокие,высокий
кассовые,кассовый
сборы,сбор
",",UNK
что,что
в,в
значительной,значительный
степени,степень
способствовало,способствовать
возрождению,возрождение
карьеры,карьера
гранта,грант
.,UNK
в,в
1957,UNK
году,год
грант,грант
вместе,вместе
с,с
фрэнком,фрэнк
синатрой,синатрой
и,и
софи,софи
лорен,лорен
участвовал,участвовать
в,в
съемках,съемка
костюмированной,костюмировать
исторической,исторический
драмы,драма
режиссёра,режиссер
стэнли,стэнли
крамера,крамер
«,UNK
гордость,гордость
и,и
страсть,страсть
»,UNK
.,UNK
несмотря,несмотря
на,на
трудности,трудность
в,в
процессе,процесс
производства,производство
",",UNK
фильм,фильм
получил,получить
преимущественно,преимущественно
негативные,негативный
критические,критический
отзывы,отзыв
.,UNK
в,в
том,тот
же,же
году,год
актёр,актер
появился,появиться
в,в
ремейке,ремейк
лео,лео
маккэри,маккэри
«,UNK
незабываемый,незабываемый
роман,роман
»,UNK
",",UNK
который,который
стал,стать
хитом,хит
в,в
прокате,прокат
.,UNK
аналогичный,аналогичный
успех,успех
продолжили,продолжить
его,его
последующие,последующий
проекты,проект
",",UNK
которые,который
вышли,выйти
в,в
1958,UNK
году,год
:,UNK
романтические,романтический
комедии,комедия
стэнли,стэнли
донена,донен
«,UNK
милый,милый
сэр,сэр
»,UNK
и,и
мелвилла,мелвилл
шавельзона,шавельзон
«,UNK
плавучий,плавучий
дом,дом
»,UNK
.,UNK
вышедший,выйти
год,год
спустя,спустя
приключенческо-шпионский,UNK
триллер,триллер
«,UNK
к,к
северу,север
через,через
северо-запад,UNK
»,UNK
",",UNK
стал,стать
четвёртой,четвертый
и,и
последней,последний
совместной,совместный
работой,работа
гранта,грант
и,и
хичкока,хичкок
.,UNK
роль,роль
рекламного,рекламный
менеджера,менеджер
роджера,роджер
торнхилла,торнхилл
",",UNK
которого,который
группа,группа
иностранных,иностранный
шпионов,шпион
ошибочно,ошибочно
приняла,принять
за,за
американского,американский
агента,агент
разведки,разведка
",",UNK
стала,стать
наиболее,наиболее
известной,известный
работой,работа
в,в
карьере,карьера
гранта,грант
.,UNK
кинолента,кинолента
приобрела,приобрести
большую,больший
известность,известность
